b        int
c        main
p        (
q        )
r        {
a        double
z        radius
i        ;
f        cin
k        >>
z        radius
i        ;
a        double
z        perim
i        ;
a        double
z        area
i        ;
a        double
z        pi
i        ;
z        pi
l        =
g        3.14
i        ;
z        perim
l        =
h        2
m        *
z        pi
m        *
z        radius
i        ;
z        area
l        =
z        pi
m        *
z        radius
m        *
z        radius
i        ;
t        cout
j        <<
z        perim
i        ;
t        cout
j        <<
z        area
i        ;
d        return
h        0
i        ;
s        }
